Jenjang;Fakultas;Tipe;Prodi;Jenis_Kelamin;Agama;Tanggal_Lulus;Lama_Studi;Periode_Wisuda;IPK;Jalur_Penerimaan;SPP;Level_UKT;Jenis_UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;23-10-2018;4 Tahun 3 Bulan;20182;3.11;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;23-10-2018;4 Tahun 3 Bulan;20182;3.11;SBMPTN (BIDIK MISI);2400000;NULL;Non UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;05-06-2018;3 Tahun 11 Bulan;20174;3.52;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;05-06-2018;3 Tahun 11 Bulan;20174;3.52;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;05-06-2018;3 Tahun 11 Bulan;20174;3.52;SBMPTN;500000;1;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;23-10-2018;4 Tahun 3 Bulan;20182;3.23;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;23-10-2018;4 Tahun 3 Bulan;20182;3.23;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;23-10-2018;4 Tahun 3 Bulan;20182;3.23;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.31;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.31;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.31;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;23-12-2019;5 Tahun 5 Bulan;20193;2.95;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;23-12-2019;5 Tahun 5 Bulan;20193;2.95;SBMPTN;1700000;3;UKT
